PacketCounter,Acc_X,Acc_Y,Acc_Z,
307,-9.044568062,-2.948373079,2.184672594, 
308,-9.080974579,-2.875752449,2.17625308, 
309,-9.086286545,-2.943456888,2.142042637, 
310,-9.082893372,-3.043381691,2.12320447, 
311,-9.089484215,-3.067416191,2.089304209, 
312,-9.047286034,-3.050445318,2.02055192, 
313,-9.08095932,-2.968256712,1.995474577, 
314,-9.091644287,-2.875660658,1.976941109, 
315,-9.072497368,-2.857556343,1.994990587, 
316,-9.053028107,-2.909704208,1.956041455, 
317,-9.02172184,-2.962569237,1.939102054, 
318,-8.986036301,-2.97438097,1.944832444, 
319,-9.007195473,-2.973216534,1.94716084, 
320,-9.047449112,-2.974627972,1.982517958, 
321,-9.077651024,-2.950088024,2.01988554, 
322,-9.099172592,-2.858581066,2.006775379, 
323,-9.170321465,-2.891509295,2.030727625, 
324,-9.191200256,-3.015775204,2.098720551, 
325,-9.104892731,-3.031784534,2.096457243, 
326,-8.939401627,-3.014086008,2.107725382, 
327,-8.779132843,-2.93940258,2.094781399, 
328,-8.796999931,-2.839184761,2.113627672, 
329,-8.89907074,-2.772583723,2.164429665, 
330,-8.921267509,-2.757583141,2.166580915, 
331,-8.84545517,-2.706369877,2.13518095, 
332,-8.863042831,-2.642697096,2.14274478, 
333,-8.942090034,-2.625199556,2.177813053, 
334,-9.001836777,-2.616298437,2.17467618, 
335,-9.032938957,-2.616528988,2.191615105, 
336,-9.039843559,-2.581248283,2.205789328, 
337,-9.020750046,-2.458805799,2.226487398, 
338,-9.06283474,-2.38675189,2.205928564, 
339,-9.140645027,-2.346528769,2.21553731, 
340,-9.153840065,-2.409034014,2.229430914, 
341,-9.128726959,-2.47768116,2.233260393, 
342,-9.135613441,-2.57194829,2.231364727, 
343,-9.177711487,-2.605465412,2.247327566, 
344,-9.188488007,-2.674623013,2.214268923, 
345,-9.211541176,-2.655058861,2.193217278, 
346,-9.23391819,-2.731323004,2.166174412, 
347,-9.205843925,-2.748196602,2.160357475, 
348,-9.177184105,-2.693883657,2.128059149, 
349,-9.179899216,-2.620254755,2.121910095, 
350,-9.156243324,-2.622587204,2.130506516, 
351,-9.16496563,-2.583533764,2.164815664, 
352,-9.121842384,-2.619920969,2.119278431, 
353,-9.086466789,-2.658319473,2.090594292, 
354,-9.098678589,-2.687378645,2.074902058, 
355,-9.123193741,-2.757217169,2.023015022, 
356,-9.221928596,-2.763580322,1.973788261, 
357,-9.34526062,-2.744205236,1.941794395, 
358,-9.471776009,-2.610424042,1.924848199, 
359,-9.509049416,-2.573734283,1.852247238, 
360,-9.529196739,-2.574710369,1.826146126, 
361,-9.478067398,-2.636949062,1.77012074, 
362,-9.346173286,-2.739419699,1.688201904, 
363,-9.198149681,-2.684492588,1.641502142, 
364,-9.102597237,-2.588321924,1.541739464, 
365,-9.134288788,-2.554600477,1.455095172, 
366,-9.282671928,-2.526104689,1.41155982, 
367,-9.415132523,-2.561278582,1.293689132, 
368,-9.49730587,-2.639199495,1.200343251, 
369,-9.557627678,-2.60152626,1.139771938, 
370,-9.598866463,-2.5744524,1.105756283, 
371,-9.630277634,-2.629418612,1.126663566, 
372,-9.625092506,-2.63564539,1.168020487, 
373,-9.591832161,-2.687725544,1.241855621, 
374,-9.55035305,-2.763002396,1.263959408, 
375,-9.436397552,-2.858317852,1.343148708, 
376,-9.278331757,-2.93787837,1.384235978, 
377,-9.206851959,-2.98659277,1.419845819, 
378,-9.163915634,-3.122574568,1.504625559, 
379,-9.175005913,-3.227926493,1.604997158, 
380,-9.19879818,-3.290464878,1.670320272, 
381,-9.154456139,-3.269390583,1.687897325, 
382,-9.122128487,-3.238995314,1.695390463, 
383,-9.099212646,-3.175848722,1.726153851, 
384,-9.126541138,-3.124700546,1.747024059, 
385,-9.156603813,-3.008220434,1.755999088, 
386,-9.129052162,-2.926462889,1.738801479, 
387,-9.135457039,-2.727777958,1.774919748, 
388,-9.096530914,-2.576879025,1.79400754, 
389,-9.033968925,-2.522556305,1.822595239, 
390,-9.023143768,-2.532501221,1.861626148, 
391,-9.008450508,-2.492547989,1.916401505, 
392,-9.050575256,-2.382777452,1.965452194, 
393,-9.118414879,-2.353636265,2.022464991, 
394,-9.119203568,-2.340084076,2.045465469, 
395,-9.078780174,-2.34149456,2.055018425, 
396,-9.012273788,-2.370027542,2.081943512, 
397,-8.983382225,-2.399013281,2.107565641, 
398,-8.989089012,-2.510463953,2.123948097, 
399,-9.02976799,-2.650937796,2.112896442, 
400,-9.044131279,-2.731520891,2.112670422, 
401,-8.995913506,-2.801886082,2.085056782, 
402,-8.966280937,-2.829942226,2.04456687, 
